title,companyname,location,salary,summary
""Data Scientist" "NLP" ,"Machine Learning"",Confidential,Singapore,None,"Â€¢A Bachelorâ€™s degree in Data Scientist or Computer Science (or equivalent experience).
Â€¢5 â€“ 10 years of data analytics exposure."
"AI Data Scientist","17MEDIA SG PTE. LTD.",Singapore,"$6,000 - $10,000 a month","We’re seeking an experienced data scientist to deliver that insight to us on a daily basis.
Analyze data for trends and patterns, and Interpret data with a…"
"Data Scientist","OVERSEA-CHINESE BANKING CORPORATION LIMITED",Singapore,"$4,000 - $10,000 a month","Conduct data exploration, feature engineering, visualization and develop models.
Clear communicator, with the ability to articulate ideas with data."
"Data Scientist","PALO IT SINGAPORE PTE. LTD.",Singapore,"$5,000 - $7,500 a month","Data-oriented background in SQL, data wrangling and data modelling.
The Data Scientist will design, build and execute machine learning techniques on large,…"
"Chief Data Scientist","NextWave Partners",Singapore,None,"We are looking for a Chief Data Scientist who will be leading and driving the direction of advanced analytics strategy and implementation."
"Data Scientist","XYPHER PTE. LTD.",Singapore,"$4,000 - $5,000 a month","As our Data Scientist, you will.
As a Data Scientist at DATAVLT, you will be reporting to the Head of Data Scientist and Software Engineers who are focused on…"
"Machine Learning Engineer","JobStudio Pte Ltd",Singapore,None,"You will be working closely with senior data scientists to deliver proprietary algorithms running at scale across our data platform Writing modular, scalable…"
"College Intern - Data Science",HP,Singapore,None,"Knowledge of data science, data warehousing, database management (preferably using SQL) and data visualization using RShiny/Plotly."
"Data Scientist - Geographic / Logistic Optimisation",Shopee,Singapore,None,"Extract data insights from massive data sets, and build data visualisation for business and technical audiences."
"Data Scientist",percept-solutions,Singapore,"$6,000 - $9,000 a month","Experience with Data Mining, Statistical Modelling, and Data Manipulation.
Implement solutions to problems using data mining, data analysis, and optimization…"
"Data Scientist, Singapore",Axinan,Singapore,None,"Work with backend engineers to architect data storage and processing pipelines.
Work with product managers to develop new product features based on insights…"
"Data Scientist - AI Lab","OCBC Bank",Singapore,None,"Strong interest in data, machine learning and artificial intelligence.
Clear communicator, with the ability to articulate ideas with data."
"Research Scientist","Singapore Management University",Singapore,None,"Required to design research methodologies and develop algorithms and models Required to design and conduct experiments, as well as implement applications, tools…"
"Data Scientist","Procter & Gamble",Singapore,None,"Evaluate available data sources and propose strategic acquisition or crafting of new data sources to assist ongoing problem resolution."
"Data Scientist",Quincus,Singapore,None,"Looking for a data scientist who will discover the information hidden in vast amount of data and.
The primary focus will be applying data mining."
"Research Scientist","Rakuten Asia Pte Ltd",Singapore,None,"Rakuten Institute of Technology (RIT) is looking for Researchers who are passionate about data and technology.
About Rakuten Institute of Technology (RIT)*."
"Data Scientist","National University of Singapore",Queenstown,None,"Create detailed reports on data sources, methodology, analytical techniques, analytical results and insights for stakeholders."
"Data Scientist","Changi Airport Group",Singapore,None,"We are looking for a Data Scientist to join our vibrant team in Enterprise Data Science Management.
Lead enterprise data analytics and major data projects."
"Senior Data Scientist","UPSKILLS PTE. LTD.",Raffles,"$9,000 - $16,000 a month","Development using Big Data architecture.
Experienced in using Big Data Architecture and the tools in the landscape.
PhD / Master’s in Quantitative Disciplines."
"Data Scientist","Boston Consulting Group",Singapore,None,"We’re looking for a passionate and talented Data Scientist to join our rapidly growing team.
Are able to explain sophisticated data science concepts in an…"
"Data Scientist - Language Solution",Shopee,Singapore,None,"Supervised/unsupervised learning, data engineering, feature engineering/optimization.
Work cross-functionally with business owners/product managers/engineers,…"
"Data Scientist","Government Technology Agency",Singapore,None,"He/she should have some training and working experiences on data analytics, and should be comfortable with hands-on data manipulation, data modelling and data…"
"Senior Data Scientist","IKIGAI ENABLERS PTE. LTD.",Suntec,"$5,000 - $8,000 a month","Lead data science aspects of client engagements on their own end to end, effortlessly switching between roles of an Individual Contributor, team member and data…"
"Data Scientist (Risk Management)","A-IT Software Services Pte Ltd",Singapore,None,"Experience with programming languages (C++, Python, R, Java, etc) to manipulate data and draw insights from large data sets."
"First Vice President, Data Scientist","United Overseas Bank Limited",Raffles,None,"Extensive experience in Python, R and Scala on Hadoop / Spark big data pipeline (specifically, Cloudera platform for data engineering and data science)."
"Research Scientist","Singapore Management University",Singapore,None,"Data and Text Mining Deep Learning Recommender Systems Big Data Infrastructure Machine Learning Crowdsourcing Social-Urban Sensing The candidate will also be…"
"Data Analyst","Pan-United Corporation Ltd",Singapore,None,"At least 3 years of experience in data science for data scientist role.
Additional experience in data visualization and/or knowledge of reinforcement."
"Research Scientist / Senior Research Scientist (Convective S...","NATIONAL ENVIRONMENT AGENCY",Singapore,"$4,735 - $8,305 a month","Keeping abreast with the latest international developments in data assimilation;
We are seeking for a highly motivated scientist with a strong background in…"
"Research Scientist / Senior Research Scientist (Ensemble Dat...","NATIONAL ENVIRONMENT AGENCY",Singapore,"$4,735 - $8,305 a month","We are seeking a highly motivated scientist to join the Weather Modelling Development (WMD) section and lead the ensemble data assimilation related activities."
"Data Scientist","AMARIS CONSULTING PTE. LTD.",Singapore,"$6,000 - $8,000 a month","Participate in data exploration activities for businesses, uncovering patterns in the data usage.
Bring the best-in-class practices to the engineering/project…"
"VP, Senior Data Analyst/Scientist","United Overseas Bank Limited",Raffles,None,"In joining the Engagement Lab as a Data Scientist, you’ll be in a key role that helps deepen the customer interactions by applying advanced data analytics."
"Data Scientist / Analyst","CAPGEMINI SINGAPORE PTE. LTD.","Marina Bay","$4,500 - $6,000 a month","Strong experience in data science or quantitative fields.
Proven Data science experience in retail and FMCG sector.
D) in sciences is preferred."
"Data Scientist",Keyrus,Singapore,None,"Strong passion for big data and data analysis, to apply data analysis to solve a business problem in real world.
Experience of 3+ real data mining projects."
"Data Engineer / Scientist","LAND TRANSPORT AUTHORITY",Singapore,None,"Good understanding of big data and experience working with distributed computation tools (e.g.
You will work in a team of data scientists, solution architects,…"
"Data Scientist",Mantu,Singapore,None,"Participate in data exploration activities for businesses, uncovering patterns in the data usage.
Bring the best-in-class practices to the engineering/project…"
"Data Scientist - Listing",Shopee,Singapore,None,"Familiar with various supervised and unsupervised models to uncover insights from large scale of text and image data."
"He[a]t - AI Engineer","Continental AG",Singapore,None,"Data engineering and big data tech stack:
Coordinate between different teams of Data Scientists and Engineers.
Automate infrastructure used by the team."
"Senior Data Scientist",Singtel,Singapore,None,"Data wrangling (SQL, R, Python, PostGRESql, Spark, Hadoop/Hive), Data Modeling (R, Python), Data visualization (Tableau)."
"Data Scientist - Risk Modelling",Shopee,Singapore,None,"Maintain data pipeline and feature pool.
As a Shopee data scientist for risk modelling, you may contribute your talent in our exciting projects in some of the…"
"Research Scientist",台達集團,Singapore,None,"Familiar with time-series data, sensor network data, feature representations, sensor fusion.
Familiar with signal processing, data analytics, machine learning,…"
"Analyst/ Senior Analyst (Energy Technology & Data/ Research...","Energy Market Authority",Singapore,None,"Relevant working experience and knowledge in data management, data mining, data production and Big Data database management would be an advantage."
"Data Scientist","QUINCUS PTE. LTD.",Singapore,"$5,000 - $10,000 a month","As our business continues to grow, we are looking for a Data Scientist to join our team who will discover the information hidden in vast amount of data and help…"
"Data Scientist","Robert Walters",Singapore,None,"About the Data Scientist Role:
Great career progression opportunities await the right person in this Data Scientist role.
Robert Walters (Singapore) Pte Ltd."
"#SGUnitedJobs Data Scientist","GOVERNMENT TECHNOLOGY AGENCY",Singapore,"$6,000 - $10,000 a month","He/she should have some training and working experiences on data analytics, and should be comfortable with hands-on data manipulation, data modelling and data…"
"Senior Data Scientist","LINKSURE NETWORK HOLDING PTE. LIMITED",Singapore,"$8,000 - $12,000 a month","Design and implement the algorithms engine, promote and verify the performance.
Apply machine learning algorithms to design and improve user models."
"Data Scientist (Mgr / AM) with an established healthcare org...","THE CAP CONSULTING GROUP PTE. LTD.",Singapore,"$9,000 - $12,000 a month","As a Data Scientist, you will perform the following:
Data Scientist (Mgr/AM) with an established healthcare organisation (based in town).
It is based in town."
"Research Assistant/Scientist/Senior Scientist","Esco Ventures Pte Ltd",Singapore,None,"Present data from research work internally and externally.
We are looking for a Research assistant/Scientist/Senior Scientist to join us in this exciting…"
"Senior Data Scientist",FinAccel,Singapore,None,"As a Senior Data Scientist, you will lead the initiatives to build variety of data products to improve the efficiency and the effectiveness of the existing…"
"BI Consultant - Tableau","A-IT Software Services Pte Ltd","Marina Bay","$6,000 - $9,000 a month","Dimensional modeling) and data mining.
Background in data and business analysis.
Background in data warehouse design (e.g."
"Data Scientist","Rakuten, Inc.",Singapore,None,"Solid experience in advanced data analytics.
Rakuten Institute of Technology (RIT) is looking for Researchers who are passionate about data and technology."
"Data Engineer (Software Engineer in Data)","HIVE OS PTE. LTD.",Queenstown,"$8,000 - $13,500 a month","In data structures, algorithms, and systems.
As a Data Engineer, you hold the key in enabling a data-driven company, through enabling reliable, scalable,…"
"Senior Data Scientist","Techknowledgey Pte Ltd",Singapore,None,"Design and develop next generation of scalable Telco Big Data Analytics Models to support commercial projects across various business verticals."
"Data Scientist","TOSS-EX PTE. LTD.",Raffles,"$6,000 - $7,000 a month","Experience in designing data solution, solving unstructured problems,.
Proficiency in data science, machine learning algorithms and statistical."
"Senior Data Scientist","Dow Technologies and Systems dowtechie.com",Singapore,"$8,000 a month","Experience with cloud platforms like AWS, Google Cloud, MS Azure - Experience with Deep Learning frameworks - Experience in data visualisation."
"Data Scientist","SnapHunt Pte Ltd",Singapore,None,"You have at least 3 years experience within a Data Scientist role.
Driving all data analytics activities ranging from conceptualisation, visualisation to…"
"Energy & Data Scientist",formativesearch,Singapore,None,"DATA SCIENTIST - ENERGY & DIGITAL TECHNOLOGIES.
They are urgently looking for a Data Scientist, who will get involved in innovative projects, the mission is…"
"Data Scientist",Hays,Singapore,"$6,000 a month","You will utilise power consumption data generated from multiple buildings across several countries and work with the CTO and supporting staff such as software…"
"#SGUnitedJobs Data Scientist","KEYTEO CONSULTING PTE. LTD.",Raffles,"$4,000 - $10,000 a month","Data mining, clustering, artificial intelligence, machine learning.
As a Senior Data Scientist, your main mission will be to provide your technical expertise…"
"Data Engineer","Government Technology Agency",Singapore,None,"Good understanding of system design, data structure and algorithms, data modelling, data access and data storage.
Understand LDAP, OAuth, API gateways."
"Data Scientist","AXA REV",Singapore,None,"Data mining, clustering, artificial intelligence, machine learning.
As a Data Scientist, your main mission will be to provide your technical expertise both to…"
"Data Scientist - Knowledge Graph",Shopee,Singapore,None,"Analyze massive data and conduct feature engineering by large-scale data mining.
Work closely with our data scientist knowledge graph team to uncover insights,…"
"Regional Data Science Team",Lazada,Singapore,None,"As a Lazada Data Scientist Intern, you will learn to apply different techniques such as deep learning, reinforcement learning, natural language processing and…"
"Data Scientist - Entry Level",Volt,Singapore,"$5,000 - $6,000 a month","My client, an exciting new start-up, is looking for a Data Scientist with Machine Learning capabilities to come in and join their team."
"Data Science Engineer 1",Micron,Singapore,None,"Craft intuitive user interfaces for interactive data visualization to explain insights from data.
Work with various scientific data such as equipment sensor…"
"Mapping and Localization Research Engineer/Scientist",Hyundai-Aptiv,Singapore,None,"Strong background in data structures and algorithms.
The Hyundai-Aptiv Autonomous Driving Joint Venture develops world class production-ready autonomous driving…"
"#SGUNITEDJOBS BUSINESS ANALYST (DATA ANALYTICS)","GOVERNMENT TECHNOLOGY AGENCY",Singapore,"$6,000 - $10,000 a month","He/ She should have some training and working experiences on data analytics, and should be comfortable with hands-on data manipulation, data modelling and data…"
"Data Scientist (Ref #: 111980)",Singtel,Singapore,None,"Extensive experience directly querying large data sets including networks data, customer usage data, third party data and raw data ingested from non-standard…"
"Executive / Senior Executive, Data & Insights","CapitaLand Limited",Singapore,None,"At least 3 years of relevant experience as a Data Scientist.
Work with data engineers to plan, identify and integrate data from multiple source systems to…"
"Data Scientist / Data Analyst","Ignite Talent Asia",Singapore,None,"Design data reports and visualization tools to facilitate data understanding.
Undertake statistical analysis and data mining.
In this role you will …."
"Data Scientist","SMARTKARMA INNOVATIONS PTE. LTD.",Changi,"$4,000 - $6,000 a month","Technical expertise with data analysis techniques and tools, data models, database design development, data mining and segmentation techniques."
"Data Scientist - Signal Processing","BIOFOURMIS SINGAPORE PTE. LTD.",Singapore,"$4,000 - $6,500 a month","Understand bio-signals (ECG, PPG, and other types of biomedical/healthcare data) is a plus.
Utilize strong coding skills to help in the development of signal…"
"Data Analyst","SMARTKARMA INNOVATIONS PTE. LTD.",Changi,"$4,000 - $6,000 a month","Acquire data from primary or secondary data sources and maintain databases/data systems.
Technical expertise regarding data models, database design development,…"
"Senior Research Scientist","Singapore Management University",Singapore,None,"The candidate will also assist to develop analytics capabilities in big data infrastructure and conduct data science studies."
"Software Engineer II","Thermo Fisher Scientific",Singapore,None,"Experience with advanced data visualization techniques and bioinformatics.
Experience with medical science solutions that manage genomic or biomedical data."
"Data Scientist","Ellwood Consulting",Singapore,None,"Our client is looking for a PhD / Masters candidate to work with us to analyse the motion data, determine trends in the data and ultimately, create algorithms…"
"Data Scientist","NTT Limited",Singapore,None,"Extensive experience in data modelling.
Good experience with data warehouse and data lake technical architectures, infrastructure components, ETL/ ELT and…"
"Research Scientist / Project Manager",Evonik,Singapore,None,"The Scientist position is critical to execute current and future projects in Smart Surface Solutions.
Additionally to lead a junior scientist and/or a team of…"
"Data Scientist (Mgr/AM) with healthcare organisation (based...","The CAP Consulting",Singapore,None,"As a Data Scientist, you will perform the following:
Data Scientist (Mgr/AM) with an established healthcare organisation (based in town)*.
It is based in town."
"#SGUnitedJobs Data Engineer","GOVERNMENT TECHNOLOGY AGENCY",Singapore,"$4,000 - $6,000 a month","Good understanding of system design, data structure and algorithms, data modelling, data access and data storage.
Understand LDAP, OAuth, API gateways."
"Senior Data Scientist","Centre for Strategic Infocomm Technologies (CSIT)",Singapore,None,"Experience in leading and managing data science teams.
You will be part of a dynamic team of data specialists responsible for tackling the most complex problems…"
"Postdoctoral Associate / Research Scientist (Ref: IRG_CENSAM...","SINGAPORE-MIT ALLIANCE FOR RESEARCH AND TECHNOLOGY...",Raffles,"$4,500 - $8,000 a month","We seek a highly motivated individual to join the Singapore-MIT Alliance for Research and Technology (SMART) to carry out research on remote sensing data…"
"Senior Data Scientist/Engineer","SnapHunt Pte Ltd",Singapore,None,"Designing, implementing and maintaining a robust data infrastructure.
Build and lead a best in class data team.
Build and lead a best in class data team *."
"Data Scientist","Spring Professional Malaysia Sdn Bhd",Singapore,None,"Key responsibilities of this Data Scientist.
Demonstrated practical in-depth knowledge of data integration, metadata, BI analytics tools and Big Data tools."
Scientist,Illumina,Woodlands,None,"Strong data analysis skills, ability to interpret and draw conclusions quickly from large data sets.
As a Scientist within Illumina’s Research and Technology…"
"Senior Software Engineer - Machine Learning & Algorithms, Si...",Apple,Singapore,None,"You can actively participate in investigations into multiple streams of ads quality data, and draw conclusions from data, recommend actions."
"Senior Research Scientist","Singapore Management University",Singapore,None,"Data and Text Mining Machine Learning Deep Learning Crowdsourcing Recommender Systems Social-Urban Sensing Big Data Infrastructure The Research Scientist will…"
"Research Associate",Givaudan,Singapore,None,"Reporting to the Technology Scientist, you will:
Do you want to grow your career as a scientist and researcher?
Then come join us – and impact your world."
"Specialist SA, Machine Learning","Amazon Web Services Singapore",Singapore,None,"Familiarity with using data visualisation tools.
Track record of diving into data to discover hidden patterns.
Your roles and responsibilities will include:"
"Data Scientist cum Analyst","Career Edge Asia Pte Ltd",Singapore,"$7,000 a month","Manage data analysis (large structured and unstructured data analysis) and identify trends on lead and pipeline creation.
5 working days, Mon – Fri."
"Assistant Manager, Data & Innovation","AXA INSURANCE PTE. LTD.","Shenton Way","$6,500 - $9,500 a month","Data mining, clustering, artificial intelligence, machine learning.
As a Senior Data Scientist, your main mission will be to provide your technical expertise…"
"Sen. Risk Management Data Scientist","Credit Suisse",Singapore,None,"Risk Management Data Scientist #147467.
Python, PySpark, SQL and have experience in using big data platforms including the development of big data pipelines,…"
"Data Scientist","Ministry of Home Affairs",Singapore,None,"Passionate about data analytics, data mining, logic, and problem solving.
Conducting end-to-end data mining on complex data sources, including processing,…"
"Assistant Manager, Data and Innovation","AXA INSURANCE PTE. LTD.","Shenton Way","$6,000 - $9,000 a month","Data mining, clustering, artificial intelligence, machine learning.
As a Senior Data Scientist, your main mission will be to provide your technical expertise…"
"Forensic Scientist, Forensics","Home Team Science and Technology Agency (HTX)",Singapore,None,"Analyse and interpret data, and prepare reports.
HTX is the world’s first Science and Technology agency that integrates a diverse range of scientific and…"
"Data scientist â€“ Logistics","Kerry Consulting Pte Ltd",Singapore,None,"This is an end to end data scientist role â€“ from working with datasets from various data sources, designing PoCs, producing effective visualization and…"
"Hiring for Data Scientist","Aryan Search Pte Ltd",Singapore,"$60,000 - $72,000 a year","Own data quality for various data flows.
Design, build and manage data marts to satisfy our growing data needs.
Build expertise on the data."
"AVP Data Scientist",Hays,Singapore,"$7,000 a month","As the data scientist, you will be a part of a team of driven and aspiring individuals who are looking to derive value from the abundance of data through data…"
"Data Scientist","Jobstudio Pte Ltd",Singapore,None,"Our client – an Internet company is searching for Data Scientist.
As a Data Scientist, you will apply your strategic and analytical skills to major company…"
"Data Scientist","TalentNex Consulting Pte Ltd.",Singapore,None,"Processing, cleansing, and verifying the integrity of data used for analysis & integrating available data with third party sources of information when needed…"
"Supply Chain Data Engineer",Dell,Singapore,None,"Validate quality of data and explore data to uncover insights.
Query, aggregate, prepare, transform and load data, ready for analysis by data scientists."
Scientist,Illumina,Woodlands,None,"You will be responsible for developing cutting edge technologies and related assays by designing and executing experiments, collecting data, performing analysis…"
"Process Development Scientist/Engineer","Merck KGaA",Singapore,None,"Perform data analysis and provide recommendation for optimized process conditions, scale-up and troubleshooting and provide report and presentation of work in…"
"Economist (Data Analytics)","Ministry of Trade and Industry",Singapore,None,"Economics, Statistics, Applied Mathematics, Computer Science, Data Analytics, Engineering, or related disciplines."
"Associate Scientist",Illumina,Woodlands,None,"As an Associate Scientist 2 within Illumina’s Research and Technology Development team, you will work as part of a multi-disciplinary research team to help…"
"Data Scientist- Commodity Trading","Kerry Consulting Pte Ltd",Singapore,None,"With this comes an exciting opportunity for inspiring individuals to join the high performing data scientist team.
Strong communication is a must for this role."
"Senior Data Engineer - Hadoop, Spark",Singtel,Singapore,None,"Data Architecture, Data Modelling, Data Security experience.
Work with data scientist and business analytics team to assist in data ingestion and data related…"
"Data Scientist","Wsh experts Pte Ltd",Singapore,None,"Work with large data sets, integrate diverse data sources, data types and data structures into the solution.
This involves translating requests into use cases,…"
"Data Science Experimentation Specialist, Apple Media Product...",Apple,Singapore,None,"Model and analyze data using state-of-the-art methods.
Extensive knowledge in statistical methods and data mining.
In this role you will:"
"Senior AI Scientist","Urban Redevelopment Authority",Singapore,None,"You will work collaboratively with internal user groups (Urban Planners, Architects, Data Engineers, Data Scientist, Software Developers) in the design,…"
"Gain Theory | Data Engineer Manager","Gain Theory",Singapore,None,"Manage data architecture requirements and data processing schedules.
Work with data providers to establish data transfer process (set template, frequency and…"
"Research Engineer / Research Assistant","National University of Singapore",Queenstown,None,"Candidates to investigate biosensor and biosensing system research in this new and exciting new field at the cross road of materials, electronics, data science,…"
"Forensic Scientist, Forensics","MINISTRY OF HOME AFFAIRS","Phoenix Park",None,"Analyse and interpret data, and prepare reports.
HTX is the world’s first Science and Technology agency that integrates a diverse range of scientific and…"
"Pre-clinical Imaging Scientist/Operator/Specialist","National University of Singapore",Queenstown,None,"The candidate is expected to implement MRI image analysis capabilities for preclinical imaging data in support of an increasing number of MRI study requests."
"Data Scientist",Confidential,Singapore,None,"Python, Scala, SLQ -Has at least 2-3 yearsâ€™ experience working as data scientist/ analyst in digital marketing dept -Strong business analyst background."
"AI Engineer","CONTINENTAL AUTOMOTIVE SINGAPORE PTE. LTD.",Singapore,"$7,500 - $9,000 a month","Data engineering and big data tech stack:
Coordinate between different teams of Data Scientists and Engineers.
Automate infrastructure used by the team."
"Data Scientist (HR)","Sciente Consulting Pte. Ltd",Singapore,None,"Minimum 2 years of relevant experience as Data Analyst, Data Scientist, Business Analytics;
Possess technical expertise on data modelling, database design…"
"AVP / Senior Associate, Analytics Translator, Institutional...","DBS Bank",Singapore,None,"The Institutional Banking Group’s (IBG) Data Centre of Excellence (Data CoE) team is committed to building a data driven organization and maximising the key…"
"Sr Data Scientist","Jabil Circuit",Singapore,None,"Value of new data, integrating into analysis, assessing data readiness for automation and optimisation;
Identify new potential data sources:"
"Data Engineer","AXA REV",Singapore,None,"As Data Engineer in AXA REV team in Singapore (part of larger REV team in Paris, Lausanne and San Francisco) you will work alongside a talented pool of Data…"
"Research Associate/ Senior Research Associate - Pharmacology","Hummingbird Bioscience Pte. Ltd",Singapore,None,"Critically analyse and interpret data and accurately document and communicate results.
The position demands the ability to ensure delivery of high-quality data,…"
"Data Analytics Analyst","Comtel Solutions Pte Ltd",Singapore,None,"Perform full life-cycle of Data Scientist / Analyst activities, including conceptualization, visualization to operationalization â–ª."
"Ant Financial SEA Cross Border Business Intelligence Interna...",Alibaba,Singapore,None,"Master of computer science, information management, business analytics, statistics (or equivalent) • 5 years + related working experience in data warehouse,…"
"Senior Data Scientist/Team Lead","SnapHunt Pte Ltd",Singapore,None,"You have at least 5 years experience as a Data Scientist and have good experience in machine learning and deep learning.
You will be responsible for:"
"Research Associate, Ocular Imaging","SINGAPORE EYE RESEARCH INSTITUTE",Singapore,"$3,100 - $5,620 a month","Perform statistical analysis for ocular imaging data.
Strong understanding of statistics as applied to data analysis and modelling.
He/ She will be expected to:"
"Research Assistant / Scientist","PRESTIGE BIOPHARMA PTE. LTD.",Singapore,"$3,000 - $4,000 a month","Document all the analytical data according to GLP practices.
We are looking for Research Scientist or Research assistant to join our R&D division and support…"
"Software Engineer, Machine Learning","DC Frontiers Pte Ltd",Singapore,None,"Â€¢Experience with Natural Language Processing, Natural Language Understanding, Machine Learning, Algorithmic Foundations of Optimization, Data Mining, or…"
"Data Scientist â€“ Energy and Utility","Kerry Consulting Pte Ltd",Singapore,None,"This individual will have the exposure to harness alternative data (geo-spatial, social media, transaction data etc) by building and deploying Machine Learning…"
"Azendian - Data Engineer Role","TechSkills Accelerator",Singapore,None,"We are looking for dynamic data professionals who will be part of data engineering team, designing and developing high quality data products - data warehouse,…"
"Data Analytics Engineer","Ministry of Home Affairs",Singapore,None,"We need highly motivated Data Analytics Engineers to design and build powerful data science and analytics tools required to conduct data mining and facilitate…"
"Software Engineer, Backend Development (Knowledge Team)",Appier,Singapore,None,"Expertise in developing data structures, algorithms on top of Big Data platforms.
Develop and operate data warehouse system and ETL pipeline for data access,…"
"Data Engineer","AXA Group Operations Malaysia Sdn Bhd",Singapore,None,"As Data Engineer in AXA REV team in Singapore (part of larger REV team in Paris, Lausanne and San Francisco) you will work alongside a talented pool of Data…"
"Data Scientist (Human Capital)","GOVERNMENT TECHNOLOGY AGENCY",Singapore,"$5,000 - $8,000 a month","Extract and interpret large data sets from HR Centers of Excellence using complex data analysis.
We are seeking an analytics professional to join us as a Data…"
"Associate Scientist","Merck KGaA",Singapore,None,"Computer literacy and entry of data into databases (LIMS, ELN, SAP, etc.).
Accurately and promptly records data to meet appropriate scientific and GLP/GMP…"
"Senior Manager, Analytics Products and Services","STARHUB LTD.",Singapore,"$9,000 - $11,500 a month","Deep dive into massive amount of data, performing analysis, developing new data science and AI models to create new value proposition with Data Products."
"Big Data Engineer",CITI,"Central Singapore",None,"You will work closely with product owners, data scientist and team members to deliver solutions through new and existing channels."
"Software Engineer (Full-Stack / NodeJS / ReactJS)","emporio analytics Pte. Ltd.",Singapore,None,"We are a very dynamic team of Data Scientists, Data Engineers, Consultants, Software Engineers, Sales and Marketing.
Degree in Computer Science or equivalent."
"Technology & Analytics Consultant",IQVIA,Singapore,None,"Working with data scientists and analysts to ensure that wherever possible, solutions make best use of data and analytical components."
"Data Engineer",Nugit,Singapore,None,"Work with different data providers to integrate their data into Nugit’s pipeline.
Our AI technology makes building and sharing data stories easy so everyone can…"
"Backend Developer - Innovation group",Dell,Singapore,None,"At EIG we are a diverse range of people who have worked in industrial design, UX development, consulting, film, data science and more, all working together to…"
"(Senior) Data Science Specialist","Sciente Consulting Pte. Ltd",Singapore,None,"Experienced in working with large data sets (statistical analysis, data visualisation, data mining, data cleansing, data transformation and machine learning);"
"Frontend Developer (Information Processing & Analytics)","Centre for Strategic Infocomm Technologies (CSIT)",Singapore,None,"Basic understanding of data science and/or Natural Language Processing (NLP) technologies.
Your team will consist of a product manager, R&D engineers, data…"
"Data Engineer (Information Processing & Analytics)","Centre for Strategic Infocomm Technologies (CSIT)",Singapore,None,"Experience in designing data models and data warehouse.
Implement data access and security to allow data scientists and analysts to access data easily."
"Data Scientist – Analytics and Planning (VP / Director Level...","Chris Consulting Pte Ltd",Singapore,None,"Ensures projects and enhancements align with the Data Governance, Quality, Big Data Analytics and Strategy.
MIS, Analytics, Decision Science, Big Data, etc."
"Data Consultant (m/f/d)",Artefact,Singapore,None,"State of the art data technologies, lean AI agile methodologies for fast delivery, and cohesive teams of the finest business consultants, data analysts, data…"
"Lead Data Scientist",Dell,Singapore,None,"We can’t wait for you to discover this for yourself as a Lead Data Scientist on our Supply chain Data, Analytics and Automation team in Singapore."
"Bioprocess Scientist (Downstream Processing)","ESCO ASTER PTE. LTD.",Singapore,"$4,000 - $6,000 a month","The Scientist will be able to work independently and work on problems of diverse scope requiring analysis of data and evaluation of identifiable factors."
"Sensory & Consumer Insight Senior Scientist",Firmenich,Tuas,None,"Define the research approach, design questionnaires, participate in fieldwork supervision, analyse consumer data and to validate flavour submissions."
